a,b,c,d
1,0.3145534123403255,A,2020-01-01
2,2.3587543096371073,B,2020-01-02
3,-0.4372606150234502,A,2020-01-03
4,0.27060295957074293,B,2020-01-04
5,-1.1476343944832472,A,2020-01-05
6,-0.5771429886491775,B,2020-01-06
7,1.2936253245346434,A,2020-01-07
8,0.7870128372019641,B,2020-01-08
9,-0.9028259532167744,A,2020-01-09
10,0.40690929441775353,B,2020-01-10
11,-0.1073019572746101,A,2020-01-11
12,0.5745722451984445,B,2020-01-12
13,1.2605002015265043,A,2020-01-13
14,1.8884829931679543,B,2020-01-14
15,0.8245786290464939,A,2020-01-15
16,0.4930754159381025,B,2020-01-16
17,0.98813466366881475,A,2020-01-17
18,0.8601648759423389,B,2020-01-18
19,0.20208007727025667,A,2020-01-19
20,1.0432105843776303,B,2020-01-20
21,-0.9566384498132989,A,2020-01-21
22,0.5223751490266488,B,2020-01-22
23,0.5596587944513453,A,2020-01-23
24,-0.9986973520897664,B,2020-01-24
25,0.9608722601583536,A,2020-01-25
26,0.8192552153281697,B,2020-01-26
27,-0.5230903967701216,A,2020-01-27
28,0.5270560443089478,B,2020-01-28
29,0.3148183662980951,A,2020-01-29
30,-0.38503929177177043,B,2020-01-30
31,-0.016180581658153614,A,2020-01-31
32,-0.3991609051003401,B,2020-02-01
33,1.0148514394967127,A,2020-02-02
34,0.022590604993497857,B,2020-02-03
35,0.879690109654147,A,2020-02-04
36,-2.0949227769576906,B,2020-02-05
37,1.1547868883263992,A,2020-02-06
38,-0.644527938307926,B,2020-02-07
39,-2.6601612652142466,A,2020-02-08
40,1.19184343270587,B,2020-02-09
41,-0.11083668734818392,A,2020-02-10
42,0.431716702748692,B,2020-02-11
43,-0.19939230943586364,A,2020-02-12
44,-1.2210876081728854,B,2020-02-13
45,1.7386957787146524,A,2020-02-14
46,-0.15500634136907088,B,2020-02-15
47,-1.263339710893512,A,2020-02-16
48,0.9508887901838409,B,2020-02-17
49,-2.122507564976889,A,2020-02-18
50,-0.7011752836361137,B,2020-02-19
51,0.33715159408043593,A,2020-02-20
52,-0.5611211339786709,B,2020-02-21
53,0.04410434131842153,A,2020-02-22
54,-0.41285271515895766,B,2020-02-23
55,1.3343061855068212,A,2020-02-24
56,0.5984361423425336,B,2020-02-25
57,-0.18857813248375857,A,2020-02-26
58,0.2117881683710283,B,2020-02-27
59,-2.0231666014109395,A,2020-02-28
60,-2.4056752648511455,B,2020-02-29
61,-1.8331147172950737,A,2020-03-01
62,-0.9985770502523857,B,2020-03-02
63,1.528367811236162,A,2020-03-03
64,-0.4733492327232584,B,2020-03-04
65,1.4733059590596442,A,2020-03-05
66,1.8024822962354392,B,2020-03-06
67,-1.221550620429677,A,2020-03-07
68,0.1574137768247484,B,2020-03-08
69,2.200217424236535,A,2020-03-09
70,-0.4711716676836818,B,2020-03-10
71,0.23897296368690918,A,2020-03-11
72,-0.17580996824423653,B,2020-03-12
73,-1.7280240961684894,A,2020-03-13
