politician_id,name_pinyin,name_fanti,c_personid,major,birth_year,death_year,age_death,choronym,hometown_code,office_startyear,age_office,exam_rank,military_CBDB,fiscal_CBDB,hometown_county_pinyin,hometown_county_name,hometown_admintype,hometown_admintype_startyear,hometown_admintype_endyear,hometown_x,hometown_y,hometown_prefecture_id,hometown_prefecture_name,hometown_province_id,hometown_province_name,kin_node,kin_dis,kin_cen_n,kin_cen,kinproximity,kincount,c_entry_code,c_entry_desc_chn,c_entry_code2,c_entry_desc_chn2,c_entry_code3,c_entry_desc3_chn,choronym_dummy,kinproximity_st,entry_exam,entry_priv,year_index,year_earliest,year_latest,year_entry_est,start_year,end_year,northernsong,southernsong,cohort,period1,period2,period3,period4,period5,period6,period7,period8,period9,period10,period11,period12,period13,period14,period15,period16,reign1,reign2,reign3,reign4,reign5,reign6,reign7,reign8,reign9,reign10,reign11,reign12,reign13,reign14,reign15,reign16,reign17,cohort1,cohort2,cohort3,cohort4,cohort5,cohort6,cohort7,cohort8,cohort9,cohort10,cohort11,cohort12,cohort13,cohort14,cohort15,cohort16,kaifeng_x,kaifeng_y,linan_x,linan_y,dist_kaifeng,dist_linan,dist_capital,southernsong_distcapital,networkid
5,Ding Du,丁度,1640,1,990,1053,64,4,100669,1012,23,0,,1,Xiangfu,祥符,Xian,1053,1119,114.34333,34.785477,11027,开封府,11026,京畿路,43,.3033826788104152,9,1,7.2584868039703,43,48,科举: 正奏名诸科(不含明经、明法),,,,,1,.16880202,1,0,1049,,,1012,1032,1053,1,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,114.35311,34.795773,120.17629,30.238457,1.451161560426355,744.4746598566646,1.4511615,0,1
6,Ding Wei,丁谓,1641,1,966,1037,72,0,100677,992,,4,,1,Changzhou,长洲,Xian,960,1112,120.618622,31.31271,12688,苏州,12669,两浙西路,12,.3809347189435523,1,1,.04144490766339,10,36,科举: 进士(笼统),,,,,0,.0041444907,1,0,1025,,,992,1012,1035,1,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,114.35311,34.795773,120.17629,30.238457,700.9334013121254,126.4005308794412,700.93341,0,2
13,Qiu Chong,丘崈,39257,1,,,74,0,101028,1163,,,,,,,,,,,,,,,,14,.3754652973207291,1,1,,14,36,科举: 进士(笼统),,,,,0,,1,0,1194,,,1163,1183,1203,0,1,12,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,114.35311,34.795773,120.17629,30.238457,,,,,3
17,Jing Tang,京镗,16302,1,1138,1200,63,0,12914,1157,,,,1,Xinjian,新建,Xian,979,1279,115.89772,28.674896,101099,洪州,12907,江南西路,15,.5615502170046596,3,1,.032420440169517,14,36,科举: 进士(笼统),,,,,0,.0023157457,1,0,1197,,,1157,1177,1200,0,1,11,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,114.35311,34.795773,120.17629,30.238457,694.2717761218854,449.7396976938281,449.73969,449.73969,4
19,Ren Zhongshi,任中师,877,1,,,77,13,100449,1009,,,,1,Jiyin,济阴,Xian,1074,1126,115.282862,34.990951,101004,曹州,11203,京东西路,98,.2306896814936767,24,1,.655455419793725,91,36,科举: 进士(笼统),,,,,1,.0072028069,1,0,1044,,,1009,1029,1049,1,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,114.35311,34.795773,120.17629,30.238457,87.69983773574187,698.861735412966,87.699837,0,5
20,Ren Zhongzheng,任中正,875,1,,,60,13,100449,,,,,1,Jiyin,济阴,Xian,1074,1126,115.282862,34.990951,101004,曹州,11203,京东西路,22,.3559252660904021,8,1,.1134116511093453,21,36,科举: 进士(笼统),,,,,1,.0054005547,1,0,1023,,,1023,1023,1023,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,114.35311,34.795773,120.17629,30.238457,87.69983773574187,698.861735412966,87.699837,0,6
23,Ren Gongzhi,任拱之,3428,1,1018,1064,47,13,100449,,,,1,,Jiyin,济阴,Xian,1074,1126,115.282862,34.990951,101004,曹州,11203,京东西路,198,.3606469598264057,43,1,1.113063360040542,188,118,恩荫(笼统),,,,,1,.0059205499,0,1,1064,,,1064,1045,1064,1,0,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,114.35311,34.795773,120.17629,30.238457,87.69983773574187,698.861735412966,87.699837,0,7
29,He Zhizhong,何执中,8053,1,1044,1117,74,0,12812,1073,,,,,Longquan,龙泉,Xian,960,1120,119.12091,28.082565,12810,处州,12753,两浙东路,6,.1529883818842803,1,1,.0474952314980328,6,36,科举: 进士(笼统),,,,,0,.0079158721,1,0,1103,,,1073,1093,1113,1,0,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,114.35311,34.795773,120.17629,30.238457,871.1764989296803,260.0764433675941,871.17651,0,8
32,He Zhitong,何志同,7033,1,,,,0,12812,1091,,,,,Longquan,龙泉,Xian,960,1120,119.12091,28.082565,12810,处州,12753,两浙东路,5,.3144942508006315,1,1,.0208351409528404,5,36,科举: 进士(笼统),,,,,0,.0041670282,1,0,1121,,,1091,1111,1131,1,0,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,114.35311,34.795773,120.17629,30.238457,871.1764989296803,260.0764433675941,871.17651,0,9
57,Hou Yi,侯益,17336,1,886,965,80,0,14693,,,0,1,,,,,,,,,,,,,29,.2313781303432079,12,1,,27,77,军员转补,,,,,0,,0,0,945,,,945,946,955,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.35311,34.795773,120.17629,30.238457,,,,,10
