id,clean_data_result,prob_clean_data_invalid,start_time,end_time,duration,country,province,city,ua,stage,school,major,software_none,software_spss,software_stata,software_r,software_python,software_javascript,software_cpp,software_gis,learn_ggplot_none,learn_ggplot_basic,learn_ggplot_color,learn_ggplot_advanced,learn_ggplot_other,learn_r_all,learn_r_categorical,learn_r_datetime,learn_r_text,learn_r_messy,learn_r_highdim,learn_r_spatial,learn_r_network,learn_r_stargazer,learn_r_mapmodel,learn_r_officer,learn_r_other,unavailable_none,unavailable_mon,unavailable_tue,unavailable_wed,unavailable_thu
63,未清洗,NA,2024/6/3 8:56,2024/6/3 8:57,58,中国,广东省,深圳市,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",B.硕士生,A.香港科技大学（广州）,C.经济学,NA,NA,C.Stata 或 SAS,NA,NA,NA,NA,NA,NA,B.如何画基本的直方图、散点图、折线图等,C.如何指定颜色、散点大小、线条粗细等,D.如何精细地调整图例顺序、坐标轴刻度、标签方向等,NA,NA,B.处理类别数据（如性别、户口）,C.处理日期、时间数据,D.处理文本数据（如家乡、招聘广告）,E.处理驳杂数据（如人口迁移数据、爬虫数据）,NA,NA,H.处理网络数据（如班级关系网）,I.导出回归模型结果,J.批量跑回归模型,K.自动、批量编辑 Word， Excel， PPT 文档,NA,NA,NA,NA,D.周三,E.周四
62,未清洗,NA,2024/5/24 18:29,2024/5/24 18:29,44,中国,重庆市,重庆市,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.49(0x1800312e) NetType/4G Language/zh_CN",B.硕士生,F.其他____________,B.社会学、人口学,NA,NA,C.Stata 或 SAS,NA,NA,NA,NA,NA,NA,B.如何画基本的直方图、散点图、折线图等,C.如何指定颜色、散点大小、线条粗细等,D.如何精细地调整图例顺序、坐标轴刻度、标签方向等,NA,A.以下全部内容,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C.周二,NA,NA
61,未清洗,NA,2024/5/23 17:46,2024/5/23 17:47,41,中国,山东省,聊城市,"Mozilla/5.0 (Linux; Android 13; 22122RK93C Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/122.0.6261.120 Mobile Safari/537.36 XWEB/1220053 MMWEBSDK/20240404 MMWEBID/2216 MicroMessenger/8.0.49.2600(0x2800313F) WeChat/a",C.博士生,F.其他____________,C.经济学,NA,NA,C.Stata 或 SAS,NA,E.Python， Matlab， Mathmetica 或 Julia,NA,NA,NA,NA,NA,NA,D.如何精细地调整图例顺序、坐标轴刻度、标签方向等,NA,A.以下全部内容,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A.通常都有空,NA,NA,NA,NA
60,未清洗,NA,2024/5/23 17:23,2024/5/23 17:24,45,中国,江苏省,南京市,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.49(0x1800312e) NetType/WIFI Language/zh_CN",B.硕士生,B.南京大学,B.社会学、人口学,NA,NA,C.Stata 或 SAS,NA,E.Python， Matlab， Mathmetica 或 Julia,NA,NA,NA,NA,NA,NA,D.如何精细地调整图例顺序、坐标轴刻度、标签方向等,NA,A.以下全部内容,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A.通常都有空,NA,NA,NA,NA
59,未清洗,NA,2024/5/23 17:14,2024/5/23 17:17,163,中国,云南省,昆明市,"Mozilla/5.0 (Linux; Android 14; 23127PN0CC Build/UKQ1.230804.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/116.0.0.0 Mobile Safari/537.36 XWEB/1160117 MMWEBSDK/20240404 MMWEBID/6244 MicroMessenger/8.0.49.2600(0x2800313F) WeChat/arm64",B.硕士生,F.其他____________,D.其他____________,NA,NA,C.Stata 或 SAS,NA,NA,NA,NA,NA,NA,NA,NA,D.如何精细地调整图例顺序、坐标轴刻度、标签方向等,NA,A.以下全部内容,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A.通常都有空,NA,NA,NA,NA
58,未清洗,NA,2024/5/23 17:12,2024/5/23 17:13,53,中国,山东省,济南市,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.49(0x1800312e) NetType/WIFI Language/zh_CN",C.博士生,F.其他____________,C.经济学,NA,NA,C.Stata 或 SAS,D.R,NA,NA,NA,NA,NA,B.如何画基本的直方图、散点图、折线图等,C.如何指定颜色、散点大小、线条粗细等,D.如何精细地调整图例顺序、坐标轴刻度、标签方向等,NA,NA,B.处理类别数据（如性别、户口）,C.处理日期、时间数据,D.处理文本数据（如家乡、招聘广告）,E.处理驳杂数据（如人口迁移数据、爬虫数据）,F.处理高维度数据（如运动记录、全国气温）,G.处理空间数据（如带定位的照片、行车轨迹）,H.处理网络数据（如班级关系网）,I.导出回归模型结果,J.批量跑回归模型,K.自动、批量编辑 Word， Excel， PPT 文档,NA,NA,NA,NA,NA,E.周四
57,未清洗,NA,2024/5/23 17:12,2024/5/23 17:13,48,中国,江苏省,镇江市,"Mozilla/5.0 (Linux; Android 12; SDY-AN00 Build/HONORSDY-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/116.0.0.0 Mobile Safari/537.36 XWEB/1160117 MMWEBSDK/20240404 MMWEBID/5916 MicroMessenger/8.0.49.2600(0x2800313F) WeChat/arm64 Weix",A.本科生,B.南京大学,B.社会学、人口学,NA,NA,C.Stata 或 SAS,NA,NA,NA,NA,NA,NA,B.如何画基本的直方图、散点图、折线图等,C.如何指定颜色、散点大小、线条粗细等,NA,NA,NA,B.处理类别数据（如性别、户口）,C.处理日期、时间数据,D.处理文本数据（如家乡、招聘广告）,NA,NA,NA,H.处理网络数据（如班级关系网）,I.导出回归模型结果,J.批量跑回归模型,NA,NA,A.通常都有空,NA,NA,NA,NA
56,未清洗,NA,2024/5/23 17:12,2024/5/23 17:13,28,中国,广东省,广州市,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.49(0x1800312e) NetType/4G Language/zh_CN",B.硕士生,A.香港科技大学（广州）,C.经济学,NA,NA,C.Stata 或 SAS,NA,E.Python， Matlab， Mathmetica 或 Julia,NA,NA,NA,NA,B.如何画基本的直方图、散点图、折线图等,C.如何指定颜色、散点大小、线条粗细等,D.如何精细地调整图例顺序、坐标轴刻度、标签方向等,NA,A.以下全部内容,NA,NA,NA,NA,NA,NA,NA,I.导出回归模型结果,J.批量跑回归模型,K.自动、批量编辑 Word， Excel， PPT 文档,L.其他____________,NA,NA,NA,D.周三,NA
55,未清洗,NA,2024/5/23 17:12,2024/5/23 17:13,54,中国,云南省,昆明市,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.49(0x1800312d) NetType/4G Language/zh_CN",B.硕士生,F.其他____________,B.社会学、人口学,NA,NA,C.Stata 或 SAS,NA,NA,NA,NA,NA,NA,NA,NA,D.如何精细地调整图例顺序、坐标轴刻度、标签方向等,NA,A.以下全部内容,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A.通常都有空,NA,NA,NA,NA
54,未清洗,NA,2024/5/23 17:12,2024/5/23 17:12,24,中国,江苏省,南京市,"Mozilla/5.0 (Linux; Android 14; V2217A Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/122.0.6261.120 Mobile Safari/537.36 XWEB/1220067 MMWEBSDK/20240404 MMWEBID/71 MicroMessenger/8.0.49.2600(0x280031EA) WeChat/arm64 W",C.博士生,B.南京大学,B.社会学、人口学,NA,NA,C.Stata 或 SAS,D.R,NA,NA,NA,NA,NA,NA,NA,D.如何精细地调整图例顺序、坐标轴刻度、标签方向等,NA,A.以下全部内容,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A.通常都有空,NA,NA,NA,NA
